,displacement,label
0,0.021,0
1,0.021,0
2,0.02,0
3,0.02,0
4,0.025,0
5,0.025,0
6,0.024,0
7,0.024,0
8,0.019,0
9,0.019,0
10,0.025,0
11,0.022,0
12,0.022,0
13,0.021,0
14,0.021,0
15,0.019,0
16,0.019,0
17,0.029,0
18,0.029,0
19,0.426,0
20,0.426,0
21,0.116,0
22,0.116,0
23,0.076,0
24,0.076,0
25,0.025,0
26,0.025,0
27,0.053,0
28,0.053,0
29,0.067,0
30,0.067,0
31,0.032,0
32,0.032,0
33,0.066,0
34,0.066,0
35,0.062,0
36,0.062,0
37,0.021,0
38,0.021,0
39,0.04,0
40,0.04,0
41,0.063,0
42,0.063,0
43,0.023,0
44,0.023,0
45,0.058,0
46,0.058,0
47,0.026,0
48,0.133,0
49,0.133,0
50,0.035,0
51,0.035,0
52,0.025,0
53,0.025,0
54,0.024,0
55,0.024,0
56,0.026,0
57,0.026,0
58,0.028,0
59,0.028,0
60,0.027000000000000003,0
61,0.027000000000000003,0
62,0.044,0
63,0.044,0
64,0.022,0
65,0.022,0
66,0.042,0
67,0.042,0
68,0.021,0
69,0.021,0
70,0.028,0
71,0.028,0
72,0.03,0
73,0.03,0
74,0.024,0
75,0.024,0
76,0.029,0
77,0.029,0
78,0.025,0
79,0.025,0
80,0.045,0
81,0.045,0
82,0.029,0
83,0.029,0
84,0.019,0
85,0.019,0
86,0.023,0
87,0.023,0
88,0.024,0
89,0.024,0
90,0.021,0
91,0.021,0
92,0.033,0
93,0.033,0
94,0.029,0
95,0.029,0
96,0.04,0
97,0.04,0
98,0.022,0
99,0.022,0
100,0.019,0
101,0.019,0
102,0.035,0
103,0.035,0
104,0.021,0
105,0.021,0
106,0.035,0
107,0.035,0
108,0.048,0
109,0.048,0
110,0.02,0
111,0.02,0
112,0.019,0
113,0.019,0
114,0.022,0
115,0.022,0
116,0.052000000000000005,0
117,0.052000000000000005,0
118,0.036000000000000004,0
119,0.036000000000000004,0
120,0.028,0
121,0.028,0
122,0.042,0
123,0.042,0
124,0.025,0
125,0.019,0
126,0.019,0
127,0.101,0
128,0.101,0
129,0.029,0
130,0.029,0
131,0.029,0
132,0.035,0
133,0.035,0
134,0.117,0
135,0.117,0
136,0.021,0
137,0.021,0
138,0.058,0
139,0.058,0
140,0.023,0
141,0.023,0
142,0.028,0
143,0.028,0
144,0.032,0
145,0.032,0
146,0.051,0
147,0.051,0
148,0.185,0
149,0.185,0
150,0.051,0
151,0.051,0
152,0.057,0
153,0.057,0
154,0.035,0
155,0.035,0
156,0.02,0
157,0.02,0
158,0.027000000000000003,0
159,0.027000000000000003,0
160,0.033,0
161,0.033,0
162,0.057,0
163,0.057,0
164,0.028,0
165,0.038,0
166,0.038,0
167,0.035,0
168,0.035,0
169,0.029,0
170,0.029,0
171,0.031,0
172,0.031,0
173,0.019,0
174,0.019,0
175,0.025,0
176,0.025,0
177,0.046,0
178,0.046,0
179,0.051,0
180,0.051,0
181,0.028,0
182,0.028,0
183,0.045,0
184,0.045,0
185,0.057,0
186,0.057,0
187,0.033,0
188,0.033,0
189,0.023,0
190,0.023,0
191,0.036000000000000004,0
192,0.057,0
193,0.057,0
194,0.025,0
195,0.025,0
196,0.056,0
197,0.056,0
198,0.043,0
199,0.043,0
200,0.035,0
201,0.035,0
202,0.047,0
203,0.038,0
204,0.038,0
205,0.032,0
206,0.032,0
207,0.07,0
208,0.07,0
209,0.041,0
210,0.041,0
211,0.06,0
212,0.06,0
213,0.063,0
214,0.063,0
215,0.026,0
216,0.026,0
217,0.07,0
218,0.07,0
219,0.038,0
220,0.038,0
221,0.019,0
222,0.019,0
223,0.026,0
224,0.026,0
225,0.033,0
226,0.033,0
227,0.028,0
228,0.051,0
229,0.051,0
230,0.042,0
231,0.023,0
232,0.023,0
233,0.025,0
234,0.025,0
235,0.027000000000000003,0
236,0.027000000000000003,0
237,0.031,0
238,0.031,0
239,0.031,0
240,0.031,0
241,0.022,0
242,0.022,0
243,0.022,0
244,0.022,0
245,0.038,0
246,0.038,0
247,0.02,0
248,0.02,0
249,0.036000000000000004,0
250,0.036000000000000004,0
251,0.045,0
252,0.045,0
253,0.023,0
254,0.023,0
255,0.029,0
256,0.029,0
257,0.031,0
258,0.031,0
259,0.024,0
260,0.024,0
261,0.023,0
262,0.023,0
263,0.027000000000000003,0
264,0.027000000000000003,0
265,0.023,0
266,0.023,0
267,0.07,0
268,0.07,0
269,0.042,0
270,0.042,0
271,0.032,0
272,0.032,0
273,0.044,0
274,0.044,0
275,0.051,0
276,0.051,0
277,0.035,0
278,0.035,0
279,0.032,0
280,0.032,0
281,0.02,0
282,0.02,0
283,0.042,0
284,0.042,0
285,0.049,0
286,0.032,0
287,0.032,0
288,0.026,0
289,0.026,0
290,0.023,0
291,0.023,0
292,0.035,0
293,0.035,0
294,0.052000000000000005,0
295,0.052000000000000005,0
296,0.029,0
297,0.029,0
298,0.048,0
299,0.048,0
300,0.053,0
301,0.053,0
302,0.049,0
303,0.049,0
304,0.025,0
305,0.025,0
306,0.039,0
307,0.039,0
308,0.045,0
309,0.045,0
310,0.028,0
311,0.028,0
312,0.044,0
313,0.044,0
314,0.02,0
315,0.02,0
316,0.033,0
317,0.033,0
318,0.035,0
319,0.035,0
320,0.059,0
321,0.059,0
322,0.063,0
323,0.063,0
324,0.038,0
325,0.038,0
326,0.029,0
327,0.029,0
328,0.04,0
329,0.04,0
330,0.035,0
331,0.035,0
332,0.034,0
333,0.034,0
334,0.036000000000000004,0
335,0.024,0
336,0.024,0
337,0.026,0
338,0.026,0
339,0.043,0
340,0.043,0
341,0.026,0
342,0.026,0
343,0.054000000000000006,0
344,0.054000000000000006,0
345,0.052000000000000005,0
346,0.052000000000000005,0
347,0.026,0
348,0.033,0
349,0.034,0
350,0.034,0
351,0.029,0
352,0.029,0
353,0.041,0
354,0.041,0
355,0.063,0
356,0.063,0
357,0.052000000000000005,0
358,0.052000000000000005,0
359,0.061,0
360,0.061,0
361,0.027000000000000003,0
362,0.027000000000000003,0
363,0.037000000000000005,0
364,0.035,0
365,0.035,0
366,0.035,0
367,0.051,0
368,0.04,0
369,0.065,0
370,0.065,0
371,0.07,0
372,0.07,0
373,0.029,0
374,0.029,0
375,0.034,0
376,0.034,0
377,0.02,0
378,0.02,0
379,0.03,0
380,0.03,0
381,0.04,0
382,0.04,0
383,0.019,0
384,0.019,0
385,0.039,0
386,0.039,0
387,0.055,0
388,0.055,0
389,0.035,0
390,0.035,0
391,0.048,0
392,0.048,0
393,0.058,0
394,0.058,0
395,0.05,0
396,0.05,0
397,0.091,0
398,0.091,0
399,0.096,0
400,0.096,0
401,0.052000000000000005,0
402,0.052000000000000005,0
403,0.023,0
404,0.023,0
405,0.033,0
406,0.033,0
407,0.052000000000000005,0
408,0.052000000000000005,0
409,0.048,0
410,0.048,0
411,0.069,0
412,0.069,0
413,0.091,0
414,0.091,0
415,0.052000000000000005,0
416,0.052000000000000005,0
417,0.022,0
418,0.022,0
419,0.019,0
